id;day_date;full_date;day_number;day_name;day_name_short;is_week_day;month_number;month_name;month_name_short;trimester_number;trimester_name;semester_number;semester_name;year
19960430;30/04/1996;terça-feira, 30 de abril de 1996;30;terça-feira;ter;sim;4;abril;abr;2;2º Trimestre;1;1º Semestre;1996
19960501;01/05/1996;quarta-feira, 1 de maio de 1996;1;quarta-feira;qua;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960502;02/05/1996;quinta-feira, 2 de maio de 1996;2;quinta-feira;qui;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960503;03/05/1996;sexta-feira, 3 de maio de 1996;3;sexta-feira;sex;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960504;04/05/1996;sábado, 4 de maio de 1996;4;sábado;sab;não;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960505;05/05/1996;domingo, 5 de maio de 1996;5;domingo;dom;não;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960506;06/05/1996;segunda-feira, 6 de maio de 1996;6;segunda-feira;seg;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960507;07/05/1996;terça-feira, 7 de maio de 1996;7;terça-feira;ter;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960508;08/05/1996;quarta-feira, 8 de maio de 1996;8;quarta-feira;qua;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960509;09/05/1996;quinta-feira, 9 de maio de 1996;9;quinta-feira;qui;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960510;10/05/1996;sexta-feira, 10 de maio de 1996;10;sexta-feira;sex;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960511;11/05/1996;sábado, 11 de maio de 1996;11;sábado;sab;não;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960512;12/05/1996;domingo, 12 de maio de 1996;12;domingo;dom;não;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
